n,encTime,rcvTime,decTime,PVSSdecTime

// this data is tested with the for loop / direct sending share
8,79,252,7,288
16,144,552,16,594
32,390,1102,32,1163
64,942,2213,53,2294
128,3633,4519,70,4624

//this one is public transaction and all shares
8,73,182,7,219
16,156,245,16,288
32,416,404,25,457
64,1075,427,53,510
128,3642,463,55,547

//after adding index and verify 
8,74,212,33,274
16,153,311,59,395
32,381,398,77,501
64,1137,413,129,568
128,3667,479,231,738

//another run

8,34,211,33,273
16,36,264,43,333
32,51,390,79,496
64,79,463,139,632
128,205,498,217,743

//0507

